,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.num_samples,track.duration,track.offset_seconds,track.window_seconds,track.analysis_sample_rate,track.analysis_channels,track.end_of_fade_in,track.start_of_fade_out,track.loudness,track.tempo,track.tempo_confidence,track.time_signature,track.time_signature_confidence,track.key,track.key_confidence,track.mode,track.mode_confidence,identity,Song_Name
0,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4,4211857,191.01392,0,0,22050,1,0.06408,182.41595,-4.645,118.091,0.869,4,1.0,0,0.214,1,0.468,0,Save Your Tears (with Ariana Grande) (Remix)
1,0.703,0.747,0,-4.446,0,0.0895,0.283,0.0,0.396,0.7,149.974,199320,4,4395006,199.32,0,0,22050,1,2.13624,195.22177,-4.446,149.974,0.255,4,0.523,0,0.586,0,0.44,0,Bang Bang
2,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325,4,3799761,172.32475,0,0,22050,1,0.20912,162.10431,-4.771,144.015,0.726,4,1.0,0,0.17,1,0.344,0,positions
3,0.645,0.878,5,-3.208,0,0.113,0.294,0.0,0.076,0.862,82.324,227027,4,5005938,227.02667,0,0,22050,1,2.13624,222.22658,-3.208,82.324,0.239,4,1.0,5,0.262,0,0.448,0,The Way
4,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,173711,4,3830317,173.71053,0,0,22050,1,0.15088,162.0985,-6.476,109.978,0.379,4,1.0,0,0.306,1,0.436,0,34+35
5,0.624,0.825,6,-3.841,0,0.0422,0.115,0.0,0.276,0.428,93.996,180693,4,3984288,180.69333,0,0,22050,1,0.35914,176.26848,-3.841,93.996,0.139,4,1.0,6,0.0,0,0.0,0,Lovin' It
6,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4,3938718,178.62666,0,0,22050,1,0.20308,167.86867,-10.732,140.048,0.134,4,1.0,1,0.691,0,0.738,0,7 rings
7,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4,4571406,207.32,0,0,22050,1,0.20893,194.38005,-5.634,106.966,0.194,4,1.0,1,0.618,1,0.654,0,"thank u, next"
8,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014,188893,4,4165098,188.89333,0,0,22050,1,0.0,178.49179,-5.737,77.014,0.319,4,1.0,5,0.479,1,0.389,0,I Don't Do Drugs (feat. Ariana Grande)
9,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,228482,3,5038031,228.48213,0,0,22050,1,0.23202,216.3113,-6.658,178.765,0.636,3,1.0,8,0.599,1,0.627,0,Stuck with U (with Justin Bieber)
10,0.725,0.796,1,-3.684,1,0.0326,0.0154,0.0,0.354,0.517,101.976,197600,4,4357080,197.6,0,0,22050,1,0.4181,191.51237,-3.684,101.976,0.514,4,1.0,1,0.322,1,0.313,0,Baby I
11,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4,4451505,201.88231,0,0,22050,1,0.21456,187.29214,-5.664,131.798,0.27,4,1.0,0,0.122,0,0.406,0,pov
12,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4,4017510,182.2,0,0,22050,1,2.33361,182.2,-3.764,123.056,0.834,4,1.0,9,0.325,1,0.44,0,Rain On Me (with Ariana Grande)
13,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4,4540536,205.92,0,0,22050,1,0.24385,201.68854,-5.507,121.993,0.85,4,1.0,9,0.186,0,0.301,0,no tears left to cry
14,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,167990,4,3704174,167.98975,0,0,22050,1,0.21474,155.12671,-5.664,116.965,0.722,4,1.0,10,0.676,0,0.724,0,motive (with Doja Cat)
15,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,244440,4,5389902,244.44,0,0,22050,1,0.0,235.90314,-5.948,107.853,0.439,4,1.0,9,0.264,1,0.372,0,Into You
16,0.724,0.796,1,-3.686,1,0.0328,0.0152,0.0,0.354,0.542,101.975,197600,4,4357080,197.6,0,0,22050,1,0.4181,191.51237,-3.686,101.975,0.487,4,1.0,1,0.308,1,0.31,0,Baby I
17,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4,4355904,197.54668,0,0,22050,1,2.17687,189.70122,-5.934,145.031,0.363,4,0.944,1,0.455,1,0.507,0,God is a woman
18,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200,4,4017510,182.2,0,0,22050,1,2.33361,182.2,-3.764,123.056,0.834,4,1.0,9,0.325,1,0.44,0,Rain On Me (with Ariana Grande)
19,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,190440,4,4199202,190.44,0,0,22050,1,0.20893,186.28789,-5.29,169.999,0.333,4,0.994,5,0.662,0,0.595,0,"break up with your girlfriend, i'm bored"
20,0.622,0.586,3,-6.241,0,0.0356,0.0735,7.41e-06,0.0803,0.434,145.08,217053,4,4786026,217.05333,0,0,22050,1,0.32118,209.01442,-6.241,145.08,0.432,4,0.839,3,0.448,0,0.437,0,Be My Baby
21,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4,4349730,197.26666,0,0,22050,1,0.3537,192.05225,-5.036,125.026,0.72,4,1.0,8,0.474,1,0.513,0,One Last Time
22,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,186107,4,4103652,186.10667,0,0,22050,1,0.22862,179.17097,-3.731,190.097,0.301,4,1.0,10,0.436,0,0.618,0,boyfriend (with Social House)
23,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,199387,4,4396476,199.38667,0,0,22050,1,2.18848,195.27402,-3.417,150.028,0.334,4,0.497,0,0.544,0,0.398,0,Bang Bang
